position,fold,seed,predicted_class_index,predicted_TagID,row_count,row_fraction
P1,1,42,0,1,0,0.0
P1,1,42,1,2,53,0.05047619047619047
P1,1,42,2,3,49,0.04666666666666667
P1,1,42,3,4,0,0.0
P1,1,42,4,5,297,0.28285714285714286
P1,1,42,5,6,250,0.23809523809523808
P1,1,42,6,7,401,0.3819047619047619
P1,1,43,0,1,297,0.28285714285714286
P1,1,43,1,2,0,0.0
P1,1,43,2,3,559,0.5323809523809524
P1,1,43,3,4,0,0.0
P1,1,43,4,5,194,0.18476190476190477
P1,1,43,5,6,0,0.0
P1,1,43,6,7,0,0.0
P1,1,44,0,1,46,0.04380952380952381
P1,1,44,1,2,6,0.005714285714285714
P1,1,44,2,3,50,0.047619047619047616
P1,1,44,3,4,348,0.3314285714285714
P1,1,44,4,5,50,0.047619047619047616
P1,1,44,5,6,300,0.2857142857142857
P1,1,44,6,7,250,0.23809523809523808
P1,1,45,0,1,0,0.0
P1,1,45,1,2,0,0.0
P1,1,45,2,3,50,0.047619047619047616
P1,1,45,3,4,200,0.19047619047619047
P1,1,45,4,5,0,0.0
P1,1,45,5,6,450,0.42857142857142855
P1,1,45,6,7,350,0.3333333333333333
P1,1,46,0,1,0,0.0
P1,1,46,1,2,56,0.05333333333333334
P1,1,46,2,3,50,0.047619047619047616
P1,1,46,3,4,201,0.19142857142857142
P1,1,46,4,5,241,0.22952380952380952
P1,1,46,5,6,253,0.24095238095238095
P1,1,46,6,7,249,0.23714285714285716
P1,2,42,0,1,145,0.1380952380952381
P1,2,42,1,2,197,0.18761904761904763
P1,2,42,2,3,0,0.0
P1,2,42,3,4,0,0.0
P1,2,42,4,5,605,0.5761904761904761
P1,2,42,5,6,0,0.0
P1,2,42,6,7,103,0.0980952380952381
P1,2,43,0,1,6,0.005714285714285714
P1,2,43,1,2,549,0.5228571428571429
P1,2,43,2,3,100,0.09523809523809523
P1,2,43,3,4,151,0.1438095238095238
P1,2,43,4,5,0,0.0
P1,2,43,5,6,0,0.0
P1,2,43,6,7,244,0.23238095238095238
P1,2,44,0,1,0,0.0
P1,2,44,1,2,149,0.1419047619047619
P1,2,44,2,3,257,0.24476190476190476
P1,2,44,3,4,193,0.1838095238095238
P1,2,44,4,5,204,0.19428571428571428
P1,2,44,5,6,56,0.05333333333333334
P1,2,44,6,7,191,0.1819047619047619
P1,2,45,0,1,50,0.047619047619047616
P1,2,45,1,2,100,0.09523809523809523
P1,2,45,2,3,0,0.0
P1,2,45,3,4,198,0.18857142857142858
P1,2,45,4,5,53,0.05047619047619047
P1,2,45,5,6,302,0.2876190476190476
P1,2,45,6,7,347,0.3304761904761905
P1,2,46,0,1,0,0.0
P1,2,46,1,2,0,0.0
P1,2,46,2,3,344,0.32761904761904764
P1,2,46,3,4,100,0.09523809523809523
P1,2,46,4,5,307,0.2923809523809524
P1,2,46,5,6,299,0.28476190476190477
P1,2,46,6,7,0,0.0
P1,3,42,0,1,150,0.14285714285714285
P1,3,42,1,2,150,0.14285714285714285
P1,3,42,2,3,0,0.0
P1,3,42,3,4,300,0.2857142857142857
P1,3,42,4,5,0,0.0
P1,3,42,5,6,50,0.047619047619047616
P1,3,42,6,7,400,0.38095238095238093
P1,3,43,0,1,150,0.14285714285714285
P1,3,43,1,2,147,0.14
P1,3,43,2,3,166,0.1580952380952381
P1,3,43,3,4,213,0.20285714285714285
P1,3,43,4,5,0,0.0
P1,3,43,5,6,137,0.13047619047619047
P1,3,43,6,7,237,0.2257142857142857
P1,3,44,0,1,396,0.37714285714285717
P1,3,44,1,2,150,0.14285714285714285
P1,3,44,2,3,50,0.047619047619047616
P1,3,44,3,4,250,0.23809523809523808
P1,3,44,4,5,0,0.0
P1,3,44,5,6,0,0.0
P1,3,44,6,7,204,0.19428571428571428
P1,3,45,0,1,150,0.14285714285714285
P1,3,45,1,2,100,0.09523809523809523
P1,3,45,2,3,206,0.1961904761904762
P1,3,45,3,4,163,0.15523809523809523
P1,3,45,4,5,0,0.0
P1,3,45,5,6,187,0.17809523809523808
P1,3,45,6,7,244,0.23238095238095238
P1,3,46,0,1,100,0.09523809523809523
P1,3,46,1,2,100,0.09523809523809523
P1,3,46,2,3,200,0.19047619047619047
P1,3,46,3,4,300,0.2857142857142857
P1,3,46,4,5,0,0.0
P1,3,46,5,6,100,0.09523809523809523
P1,3,46,6,7,250,0.23809523809523808
P2,1,42,0,1,150,0.14285714285714285
P2,1,42,1,2,400,0.38095238095238093
P2,1,42,2,3,3,0.002857142857142857
P2,1,42,3,4,0,0.0
P2,1,42,4,5,150,0.14285714285714285
P2,1,42,5,6,347,0.3304761904761905
P2,1,42,6,7,0,0.0
P2,1,43,0,1,0,0.0
P2,1,43,1,2,250,0.23809523809523808
P2,1,43,2,3,100,0.09523809523809523
P2,1,43,3,4,400,0.38095238095238093
P2,1,43,4,5,100,0.09523809523809523
P2,1,43,5,6,0,0.0
P2,1,43,6,7,200,0.19047619047619047
P2,1,44,0,1,200,0.19047619047619047
P2,1,44,1,2,50,0.047619047619047616
